"","stnr","year","month","day","hour","ntime","value","nvalue","DQC","KDVHflag","plausible","err.ext","blist.perm","blist.curr"
"1",201300,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"2",201900,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"3",202000,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"4",202400,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"5",202900,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"6",203100,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"7",203600,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"8",203800,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"9",204400,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"10",204900,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"11",205400,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"12",205500,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"13",206400,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"14",207200,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"15",208000,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"16",208100,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"17",209500,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"18",209600,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"19",210100,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"20",210200,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"21",210300,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"22",211000,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"23",211900,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"24",212000,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"25",212100,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"26",212400,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"27",212600,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"28",212800,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"29",213000,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"30",213500,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"31",214100,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"32",214600,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"33",214700,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"34",215100,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"35",220700,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"36",220900,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"37",221600,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"38",221700,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"39",221900,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"40",222100,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"41",222600,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"42",223000,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"43",223100,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"44",223300,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"45",223600,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"46",224200,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"47",224300,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"48",224400,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"49",224500,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"50",224700,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"51",225400,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"52",225600,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"53",230200,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"54",230300,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"55",230700,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"56",230800,2014,7,7,6,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"57",231100,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"58",231700,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"59",231900,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"60",232100,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"61",232400,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"62",232500,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"63",232700,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"64",232900,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"65",233100,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"66",233700,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"67",233800,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"68",240300,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"69",240700,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"70",240800,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"71",241000,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"72",241100,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"73",241300,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"74",241700,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"75",241800,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"76",242300,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"77",242600,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"78",242900,2014,7,7,6,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
