"","stnr","z","x","y","NO"
"1",201300,542,604493,7514502,FALSE
"2",201900,514,629983,7593068,FALSE
"3",202000,516,630114,7593164,FALSE
"4",202400,425,640650,7490456,FALSE
"5",202900,1145,651299,7537401,FALSE
"6",203100,494,701481,7559092,FALSE
"7",203600,467,669240,7532118,FALSE
"8",203800,453,727335,7469623,FALSE
"9",204400,460,724707,7532814,FALSE
"10",204900,359,744447,7458341,FALSE
"11",205400,360,781381,7563165,FALSE
"12",205500,402,764449,7632488,FALSE
"13",206400,240,810439,7487153,FALSE
"14",207200,312,830248,7533868,FALSE
"15",208000,330,804983,7609648,FALSE
"16",208100,330,804599,7610568,FALSE
"17",209500,164,861849,7478558,FALSE
"18",209600,165,862085,7480066,FALSE
"19",210100,458,503773,7298300,FALSE
"20",210200,1036,476905,7219065,FALSE
"21",210300,793,502939,7295390,FALSE
"22",211000,577,503209,7245023,FALSE
"23",211900,315,632234,7422011,FALSE
"24",212000,320,632123,7421571,FALSE
"25",212100,614,548971,7396333,FALSE
"26",212400,431,628585,7328552,FALSE
"27",212600,275,627210,7212219,FALSE
"28",212800,280,625723,7211107,FALSE
"29",213000,481,563091,7374809,FALSE
"30",213500,393,632010,7273801,FALSE
"31",214100,581,688267,7359672,FALSE
"32",214600,324,707816,7383982,FALSE
"33",214700,363,668599,7230222,FALSE
"34",214900,382,696669,7281477,FALSE
"35",215100,275,729840,7383293,FALSE
"36",215400,182,734926,7314827,FALSE
"37",216100,327,760777,7416267,FALSE
"38",217100,25,802920,7314565,FALSE
"39",217300,43,778525,7296613,FALSE
"40",217400,185,774932,7364642,FALSE
"41",218100,61,851743,7371332,FALSE
"42",218400,228,821759,7429236,FALSE
"43",219900,132,873988,7414850,FALSE
"44",220700,583,355665,7020338,FALSE
"45",220900,1030,362345,6993485,FALSE
"46",221600,355,443690,7020132,FALSE
"47",221700,435,408022,7028536,FALSE
"48",221900,553,462577,7153452,FALSE
"49",222100,717,426404,7080014,FALSE
"50",222600,375,474859,7007481,FALSE
"51",223000,310,526997,7121458,FALSE
"52",223100,362,480601,7061104,FALSE
"53",223300,545,517894,7204920,FALSE
"54",223600,375,516318,7071360,FALSE
"55",224200,241,560398,7107474,FALSE
"56",224300,219,596443,7063262,FALSE
"57",224400,215,596445,7063195,FALSE
"58",224500,348,588216,7163051,FALSE
"59",224700,183,559114,7003087,FALSE
"60",225400,307,612730,7117577,FALSE
"61",225600,575,614434,7181025,FALSE
"62",226000,142,664140,7003711,FALSE
"63",226100,210,678145,7163458,FALSE
"64",226300,327,664101,7109775,FALSE
"65",226500,182,675745,7063051,FALSE
"66",226700,108,698632,7037633,FALSE
"67",226900,11,702235,7012939,FALSE
"68",227100,309,706909,7207418,FALSE
"69",228200,258,724982,7168525,FALSE
"70",230200,665,357196,6859338,FALSE
"71",230300,995,383778,6957468,FALSE
"72",230700,869,387227,6863722,FALSE
"73",230800,723,379795,6926513,FALSE
"74",231100,744,398495,6781861,FALSE
"75",231700,566,427503,6885473,FALSE
"76",231900,467,441041,6958910,FALSE
"77",232100,252,448414,6791504,FALSE
"78",232400,360,457248,6876310,FALSE
"79",232500,802,456572,6929732,FALSE
"80",232700,357,468977,6879458,FALSE
"81",232900,454,499725,6836372,FALSE
"82",233100,343,504480,6957894,FALSE
"83",233700,320,534831,6903671,FALSE
"84",233800,184,538380,6803254,FALSE
"85",234300,99,565812,6929909,FALSE
"86",234700,71,581207,6855894,FALSE
"87",234900,205,588796,6960360,FALSE
"88",235400,80,621043,6924347,FALSE
"89",235500,9,633518,6843719,FALSE
"90",236500,4,625345,6935779,FALSE
"91",236600,5,626057,6934814,FALSE
"92",236800,18,642578,6901798,FALSE
"93",237800,26,611777,6792416,FALSE
"94",238200,18,658528,6949627,FALSE
"95",240300,53,390532,6508123,FALSE
"96",240700,303,429365,6727439,FALSE
"97",240800,170,333234,6568416,FALSE
"98",241000,308,428044,6726385,FALSE
"99",241100,66,366980,6617551,FALSE
"100",241300,205,378598,6737770,FALSE
"101",241700,50,392952,6513693,FALSE
"102",241800,107,405721,6590749,FALSE
"103",242300,109,394685,6637805,FALSE
"104",242600,187,433486,6669154,FALSE
"105",242900,133,453955,6614042,FALSE
"106",243100,282,514122,6636994,FALSE
"107",243200,54,502591,6565541,FALSE
"108",243500,145,527571,6699317,FALSE
"109",244000,162,577479,6759423,FALSE
"110",244100,196,473308,6758521,FALSE
"111",244300,26,619296,6614335,FALSE
"112",244900,10,582501,6583545,FALSE
"113",245000,4,639672,6735505,FALSE
"114",245200,219,494214,6573396,FALSE
"115",245300,16,618062,6733200,FALSE
"116",245800,21,645185,6643209,FALSE
"117",246200,13,647444,6639497,FALSE
"118",246800,493,507741,6693985,FALSE
"119",247200,240,506819,6665094,FALSE
"120",247600,32,580155,6547171,FALSE
"121",248100,57,594386,6642558,FALSE
"122",248200,56,609365,6682997,FALSE
"123",250000,33,269777,6534894,FALSE
"124",250100,22,271281,6499557,FALSE
"125",250500,16,283917,6445070,FALSE
"126",250700,80,292236,6507833,FALSE
"127",251300,2,320845,6401025,FALSE
"128",251500,20,332749,6454475,FALSE
"129",251600,17,297298,6392838,FALSE
"130",251800,2,313637,6355451,FALSE
