"","stnr","year","month","day","hour","ntime","value","nvalue","DQC","KDVHflag","plausible","err.ext","blist.perm","blist.curr"
"1",201900,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"2",202000,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"3",202900,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"4",210100,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"5",210200,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"6",210300,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"7",211000,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"8",212100,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"9",213000,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"10",220700,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"11",220900,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"12",221900,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"13",222100,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"14",230200,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"15",230300,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"16",230700,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"17",230800,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"18",231100,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"19",240800,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"20",241300,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"21",250000,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"22",250700,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"23",272600,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"24",280100,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"25",280500,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"26",283500,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
