"","stnr","z","x","y","NO"
"1",201900,514,629983,7593068,FALSE
"2",202000,516,630114,7593164,FALSE
"3",202900,1145,651299,7537401,FALSE
"4",210100,458,503773,7298300,FALSE
"5",210200,1036,476905,7219065,FALSE
"6",210300,793,502939,7295390,FALSE
"7",211000,577,503209,7245023,FALSE
"8",212100,614,548971,7396333,FALSE
"9",213000,481,563091,7374809,FALSE
"10",220700,583,355665,7020338,FALSE
"11",220900,1030,362345,6993485,FALSE
"12",221900,553,462577,7153452,FALSE
"13",222100,717,426404,7080014,FALSE
"14",230200,665,357196,6859338,FALSE
"15",230300,995,383778,6957468,FALSE
"16",230700,869,387227,6863722,FALSE
"17",230800,723,379795,6926513,FALSE
"18",231100,744,398495,6781861,FALSE
"19",240800,170,333234,6568416,FALSE
"20",241300,205,378598,6737770,FALSE
"21",250000,33,269777,6534894,FALSE
"22",250700,80,292236,6507833,FALSE
"23",272600,374,848208,7634428,FALSE
"24",280100,480,730794,7670774,FALSE
"25",280500,107,961064,7784239,FALSE
"26",283500,121,1031962,7695454,FALSE
"27",1135,160,301260,6544083,TRUE
"28",1230,8,293198,6559270,TRUE
"29",1400,114,303170,6561576,TRUE
"30",2980,66,286764,6558308,TRUE
"31",17251,32,255350,6597300,TRUE
"32",17280,14,249279,6596851,TRUE
"33",3005,40,283312,6566012,TRUE
"34",3190,57,278602,6578270,TRUE
"35",3200,31,279940,6580648,TRUE
"36",3370,45,274810,6582300,TRUE
"37",3015,10,273369,6567897,TRUE
"38",3019,10,268546,6570532,TRUE
"39",3030,30,269721,6572716,TRUE
"40",3120,9,273191,6575744,TRUE
"41",17000,10,261507,6564358,TRUE
"42",17005,5,262798,6566756,TRUE
"43",17030,3,257811,6577264,TRUE
"44",1080,17,273068,6550860,TRUE
"45",1600,120,310962,6573072,TRUE
"46",1650,113,309830,6578293,TRUE
"47",1950,123,310323,6598603,TRUE
"48",1960,208,308218,6601733,TRUE
"49",3990,179,291757,6630307,TRUE
"50",3720,90,279667,6612039,TRUE
"51",3730,97,279597,6612489,TRUE
"52",3731,100,279414,6612556,TRUE
"53",3810,141,283569,6611689,TRUE
"54",3480,158,299543,6606203,TRUE
"55",1380,130,289972,6587756,TRUE
"56",3280,144,295655,6597006,TRUE
"57",3290,100,294848,6588637,TRUE
"58",17050,12,261862,6583037,TRUE
"59",17090,50,266768,6586248,TRUE
"60",17150,40,261313,6589257,TRUE
"61",17380,35,259002,6592062,TRUE
"62",17400,30,261580,6600663,TRUE
"63",17500,131,274348,6602086,TRUE
"64",3780,144,277168,6617511,TRUE
"65",17550,25,258209,6605479,TRUE
"66",17650,75,259606,6614602,TRUE
"67",17830,60,264690,6632156,TRUE
"68",17850,89,262429,6621155,TRUE
"69",17870,120,263485,6621780,TRUE
"70",17875,91,265369,6623705,TRUE
"71",17775,32,252118,6630448,TRUE
"72",17780,104,255111,6638303,TRUE
"73",17810,98,257107,6643253,TRUE
"74",17895,110,262141,6636081,TRUE
"75",19430,3,250565,6647821,TRUE
"76",19490,67,249325,6649469,TRUE
"77",19510,125,255499,6652819,TRUE
"78",19610,81,246531,6650632,TRUE
"79",19660,250,242345,6654552,TRUE
"80",19710,163,244377,6644211,TRUE
"81",2560,204,296190,6639055,TRUE
"82",2650,128,308792,6646573,TRUE
"83",4825,145,293417,6650726,TRUE
"84",4040,164,283905,6629974,TRUE
"85",17640,130,275695,6629176,TRUE
"86",4090,227,273189,6648787,TRUE
"87",4110,231,275288,6652231,TRUE
"88",4200,109,278919,6654781,TRUE
"89",4260,143,275585,6655730,TRUE
"90",18280,225,272915,6656898,TRUE
"91",4460,170,268279,6671793,TRUE
"92",4725,203,284568,6676425,TRUE
"93",4780,202,282812,6680860,TRUE
"94",4781,202,282365,6678855,TRUE
"95",4920,160,299664,6671003,TRUE
"96",4950,145,305372,6672927,TRUE
"97",4960,130,305275,6686545,TRUE
"98",11120,181,287828,6690857,TRUE
"99",11125,180,286404,6689433,TRUE
"100",11440,140,288995,6723060,TRUE
"101",11450,160,292300,6701236,TRUE
"102",11463,150,292340,6701646,TRUE
"103",4740,187,280981,6677364,TRUE
"104",17980,92,266048,6641271,TRUE
"105",18020,135,264179,6645365,TRUE
"106",18160,118,264449,6644756,TRUE
"107",18162,15,264395,6648310,TRUE
"108",18165,130,265178,6647311,TRUE
"109",18170,123,267156,6647097,TRUE
"110",18180,176,267807,6648340,TRUE
"111",18195,80,266339,6648019,TRUE
"112",18205,88,264787,6650954,TRUE
"113",18210,100,265518,6650271,TRUE
"114",18215,155,267118,6651208,TRUE
"115",18225,204,267097,6652817,TRUE
"116",18230,90,267290,6650639,TRUE
"117",18233,120,268975,6652487,TRUE
"118",18235,160,270853,6652057,TRUE
"119",18240,160,270450,6651614,TRUE
"120",18245,201,269702,6654719,TRUE
"121",18260,181,272476,6652493,TRUE
"122",18269,123,271371,6653365,TRUE
"123",18270,200,273036,6654680,TRUE
"124",18310,19,263823,6649452,TRUE
"125",18390,74,262542,6652560,TRUE
"126",18405,110,263890,6652251,TRUE
"127",18410,140,265310,6652294,TRUE
"128",18420,130,264918,6652911,TRUE
"129",18440,162,264740,6654508,TRUE
"130",18450,173,265049,6655761,TRUE
"131",18500,360,259962,6664957,TRUE
"132",18645,25,260776,6649592,TRUE
"133",18690,20,259866,6649316,TRUE
"134",18700,94,260967,6652718,TRUE
"135",18701,94,260972,6652718,TRUE
"136",18703,96,260936,6652754,TRUE
"137",18815,15,258620,6648705,TRUE
"138",18840,50,258830,6652008,TRUE
"139",18920,240,260164,6654412,TRUE
"140",18950,514,258447,6657618,TRUE
"141",18980,39,256024,6650584,TRUE
"142",2970,273,359219,6682246,TRUE
"143",5495,185,336721,6666400,TRUE
"144",5590,148,334039,6676368,TRUE
"145",5660,150,339038,6683214,TRUE
"146",12123,128,289037,6746076,TRUE
"147",12180,182,293433,6746801,TRUE
"148",12290,132,287708,6746937,TRUE
