"","stnr","z","x","y","NO"
"149",12291,125,288472,6747315,TRUE
"150",12320,221,286299,6748919,TRUE
"151",12520,205,280093,6746337,TRUE
"152",12550,128,271629,6744837,TRUE
"153",12580,230,272099,6760666,TRUE
"154",12590,20,265532,6762512,TRUE
"155",12595,162,266789,6764105,TRUE
"156",12600,161,266067,6765269,TRUE
"157",12800,520,266802,6783171,TRUE
"158",6690,270,305455,6752866,TRUE
"159",12050,160,297562,6726329,TRUE
"160",5330,135,311904,6696171,TRUE
"161",5350,147,310326,6699612,TRUE
"162",5680,170,336984,6696476,TRUE
"163",5710,154,336996,6707405,TRUE
"164",6020,185,336500,6723521,TRUE
"165",6160,155,336813,6716268,TRUE
"166",6440,276,356353,6731414,TRUE
"167",6580,160,323585,6739571,TRUE
"168",6700,200,309978,6763122,TRUE
"169",60,564,367134,6827504,TRUE
"170",90,575,341871,6779534,TRUE
"171",100,333,365592,6780378,TRUE
"172",120,580,376376,6789213,TRUE
"173",180,360,353846,6798632,TRUE
"174",250,664,360111,6812248,TRUE
"175",6840,230,304128,6781767,TRUE
"176",7420,872,312963,6809720,TRUE
"177",7940,260,304089,6784950,TRUE
"178",7950,255,304913,6788900,TRUE
"179",8140,257,290930,6816467,TRUE
"180",8230,283,287909,6833310,TRUE
"181",8300,640,277494,6847213,TRUE
"182",8450,535,262866,6859109,TRUE
"183",8720,749,244691,6871508,TRUE
"184",7660,260,299289,6846172,TRUE
"185",7920,525,293189,6892539,TRUE
"186",8800,387,284912,6865860,TRUE
"187",420,481,341102,6842724,TRUE
"188",610,690,333728,6860778,TRUE
"189",670,754,341709,6860075,TRUE
"190",700,672,344849,6865141,TRUE
"191",725,826,350220,6886606,TRUE
"192",730,794,352289,6885846,TRUE
"193",770,713,315502,6901961,TRUE
"194",9580,482,278547,6911509,TRUE
"195",9870,690,263527,6930786,TRUE
"196",66810,525,251849,6958067,TRUE
"197",66850,549,257321,6949499,TRUE
"198",66860,545,257367,6948165,TRUE
"199",66890,900,271903,6946370,TRUE
"200",66900,695,262594,6935714,TRUE
"201",66990,860,251224,6939196,TRUE
"202",8880,478,271889,6894056,TRUE
"203",9400,480,271878,6901844,TRUE
"204",8770,731,239464,6881084,TRUE
"205",8780,780,238404,6885415,TRUE
"206",8970,746,258021,6908692,TRUE
"207",9160,694,239125,6898544,TRUE
"208",810,687,330443,6909388,TRUE
"209",10070,600,302895,6935759,TRUE
"210",12666,130,254452,6783375,TRUE
"211",12680,240,256243,6781518,TRUE
"212",13110,205,253250,6790354,TRUE
"213",11900,190,261537,6765437,TRUE
"214",9303,1025,216008,6912008,TRUE
"215",9310,1012,216453,6910728,TRUE
"216",9380,1475,207174,6919507,TRUE
"217",16400,560,197420,6889604,TRUE
"218",16560,638,192773,6896126,TRUE
"219",16610,973,202117,6899946,TRUE
"220",16611,980,202114,6899857,TRUE
"221",16620,930,212593,6906579,TRUE
"222",16790,551,182933,6900846,TRUE
"223",16845,620,171484,6906573,TRUE
"224",61630,579,147324,6921509,TRUE
"225",15480,374,156873,6877835,TRUE
"226",15660,432,141612,6882059,TRUE
"227",15730,664,127148,6882990,TRUE
"228",15890,872,116537,6897707,TRUE
"229",15950,930,102349,6898710,TRUE
"230",15270,1894,149452,6856140,TRUE
"231",15430,701,143377,6861613,TRUE
"232",15460,1800,138201,6845720,TRUE
"233",55290,1413,128529,6845686,TRUE
"234",14550,823,185699,6880065,TRUE
"235",14711,811,184836,6867936,TRUE
"236",13640,630,202518,6832880,TRUE
"237",13655,928,202568,6834700,TRUE
"238",14050,330,212081,6850107,TRUE
"239",14200,599,191350,6857396,TRUE
"240",16040,309,212253,6861563,TRUE
"241",16265,380,206581,6873249,TRUE
"242",16271,940,210059,6874070,TRUE
"243",13700,752,208859,6821507,TRUE
"244",13140,187,243765,6823114,TRUE
"245",13150,200,243512,6822943,TRUE
"246",13160,1030,240507,6824262,TRUE
"247",13310,770,250172,6823328,TRUE
"248",13390,185,238235,6831700,TRUE
"249",13420,930,241030,6845074,TRUE
"250",13450,666,234069,6847059,TRUE
"251",13125,200,247535,6803814,TRUE
"252",13030,375,245538,6797052,TRUE
"253",13060,575,241348,6802780,TRUE
"254",11500,264,274598,6736485,TRUE
"255",11690,410,260935,6727575,TRUE
"256",11710,406,261327,6725617,TRUE
"257",4543,235,262609,6676589,TRUE
"258",4590,415,264890,6689676,TRUE
"259",20470,385,252900,6691218,TRUE
"260",20520,372,255525,6692471,TRUE
"261",11340,620,260439,6709993,TRUE
"262",20540,245,255092,6699292,TRUE
"263",21680,542,231132,6765682,TRUE
"264",22690,170,220912,6732644,TRUE
"265",22730,474,211439,6732019,TRUE
"266",22790,172,213236,6737020,TRUE
"267",22840,628,200709,6756944,TRUE
"268",22990,425,193380,6770844,TRUE
"269",23160,639,190612,6767145,TRUE
"270",23410,822,191717,6777660,TRUE
"271",23420,365,188436,6775026,TRUE
"272",13750,1088,174465,6824633,TRUE
"273",23500,521,180431,6790894,TRUE
"274",23550,965,174233,6805891,TRUE
"275",23560,754,170565,6805395,TRUE
"276",23720,489,153920,6793633,TRUE
"277",54710,956,130049,6802130,TRUE
"278",54731,1010,132206,6801936,TRUE
"279",26594,25,230114,6631421,TRUE
"280",26852,65,231841,6633073,TRUE
"281",26862,15,231025,6632618,TRUE
"282",26864,25,230122,6633309,TRUE
"283",26872,25,228770,6633721,TRUE
"284",26898,15,226970,6634020,TRUE
"285",26900,8,226155,6634058,TRUE
"286",26932,100,231116,6630052,TRUE
"287",26934,5,233957,6628742,TRUE
"288",27010,193,227074,6629441,TRUE
"289",27015,230,227119,6630131,TRUE
"290",28380,170,197738,6621832,TRUE
"291",28450,390,187302,6621182,TRUE
"292",20250,66,238571,6672842,TRUE
"293",20280,126,237229,6676458,TRUE
"294",20301,140,236419,6679445,TRUE
"295",20361,190,240243,6683495,TRUE
"296",24210,140,219219,6688754,TRUE
"297",24230,210,214362,6687364,TRUE
"298",24350,135,224449,6667505,TRUE
"299",19663,340,240132,6656551,TRUE
"300",24710,142,202790,6706244,TRUE
"301",26450,890,179586,6706399,TRUE
"302",24890,166,178700,6728926,TRUE
"303",23300,830,180071,6756436,TRUE
"304",24960,542,170084,6746765,TRUE
"305",25100,648,148951,6765686,TRUE
"306",25110,604,152274,6763621,TRUE
"307",25112,807,148358,6765767,TRUE
"308",25165,1130,130005,6779438,TRUE
"309",25260,863,133222,6745768,TRUE
"310",25320,720,148177,6739847,TRUE
"311",25540,969,118682,6747270,TRUE
"312",25541,1020,118302,6747524,TRUE
"313",25580,670,134476,6734874,TRUE
"314",25630,772,126964,6729759,TRUE
"315",25640,841,124444,6730246,TRUE
"316",29720,798,143875,6715578,TRUE
"317",26350,143,191325,6679530,TRUE
"318",26380,293,187156,6692397,TRUE
"319",24600,367,200111,6679023,TRUE
"320",24670,150,206565,6693129,TRUE
"321",19930,375,223328,6647088,TRUE
"322",26650,80,210274,6627894,TRUE
"323",26670,21,215515,6620491,TRUE
"324",26810,7,214607,6636615,TRUE
"325",26820,15,213236,6635882,TRUE
"326",19923,250,238240,6640483,TRUE
"327",19940,39,234131,6637557,TRUE
"328",19960,170,236148,6649638,TRUE
"329",19970,170,235898,6649522,TRUE
"330",19820,363,249942,6618251,TRUE
"331",28750,183,186626,6650029,TRUE
"332",28922,275,174236,6670691,TRUE
"333",29350,648,151980,6696433,TRUE
"334",29600,870,156682,6719278,TRUE
"335",29700,1035,141305,6710788,TRUE
"336",27130,40,240402,6597095,TRUE
"337",27140,12,241220,6595340,TRUE
"338",27065,25,232272,6608726,TRUE
"339",27270,3,239763,6579935,TRUE
"340",27285,30,236865,6584637,TRUE
"341",27330,33,232325,6582219,TRUE
"342",27470,88,229013,6570241,TRUE
"343",27480,50,230021,6568359,TRUE
"344",27564,72,225728,6566677,TRUE
"345",27600,6,226277,6564571,TRUE
"346",27730,100,226284,6570247,TRUE
"347",27780,19,220458,6555460,TRUE
"348",27785,70,219874,6562242,TRUE
"349",27800,31,212498,6572740,TRUE
"350",27860,50,213780,6575360,TRUE
"351",29950,15,221146,6546705,TRUE
"352",30000,28,214909,6556574,TRUE
"353",30020,55,216114,6559145,TRUE
"354",30242,10,208445,6550333,TRUE
"355",30244,70,209110,6559214,TRUE
"356",30246,65,210116,6558221,TRUE
"357",26950,4,240754,6616141,TRUE
"358",26970,7,239836,6622885,TRUE
"359",26980,49,239663,6610798,TRUE
"360",26990,60,230197,6618742,TRUE
"361",26996,437,224243,6622307,TRUE
"362",26750,45,221044,6613926,TRUE
"363",27301,30,230080,6589351,TRUE
"364",27315,39,229685,6592128,TRUE
"365",27320,55,237575,6588521,TRUE
"366",27295,20,226672,6583729,TRUE
"367",27450,26,234673,6574925,TRUE
"368",27770,90,226711,6580541,TRUE
"369",27460,20,238031,6574055,TRUE
"370",27500,6,243181,6551688,TRUE
"371",30247,130,200655,6562976,TRUE
"372",30255,100,194224,6562424,TRUE
"373",30260,12,192727,6566124,TRUE
"374",30280,10,185832,6566966,TRUE
"375",30305,280,195839,6579909,TRUE
"376",30320,13,191170,6574772,TRUE
"377",30330,41,190719,6577896,TRUE
"378",30380,475,190337,6603544,TRUE
"379",30420,136,189726,6573112,TRUE
"380",30428,20,188241,6573479,TRUE
"381",32780,113,172254,6570226,TRUE
"382",30530,34,176186,6617384,TRUE
"383",30650,20,173133,6617414,TRUE
"384",31700,200,160237,6652563,TRUE
"385",34095,50,190199,6550524,TRUE
"386",34100,70,186106,6549907,TRUE
"387",34130,5,187214,6536763,TRUE
"388",34370,60,174058,6547165,TRUE
"389",34620,106,159372,6567227,TRUE
"390",34800,235,144185,6573175,TRUE
"391",34900,464,145079,6586141,TRUE
"392",32490,83,174367,6585085,TRUE
"393",32540,50,174247,6584424,TRUE
"394",32220,1102,159700,6611391,TRUE
"395",32240,105,161394,6601753,TRUE
"396",32060,93,171474,6596908,TRUE
"397",32061,94,171417,6596913,TRUE
"398",30860,514,167727,6653651,TRUE
"399",31080,762,150512,6682489,TRUE
"400",31410,258,145802,6655007,TRUE
"401",31500,870,127307,6650719,TRUE
"402",31520,953,125702,6652036,TRUE
"403",31970,1804,144914,6651697,TRUE
"404",31850,162,145501,6624034,TRUE
"405",31855,335,138109,6622950,TRUE
"406",31900,464,152335,6639408,TRUE
"407",32290,125,140405,6611770,TRUE
"408",32350,567,127062,6630821,TRUE
"409",32850,77,129818,6603419,TRUE
"410",37150,570,136295,6563178,TRUE
"411",37230,252,128286,6560969,TRUE
"412",37500,532,110700,6596199,TRUE
"413",37650,287,114072,6560564,TRUE
"414",37740,295,102466,6578862,TRUE
"415",37820,315,105518,6582885,TRUE
"416",32890,560,115363,6615099,TRUE
"417",37570,740,93072,6604324,TRUE
"418",31570,946,115480,6650753,TRUE
"419",31620,977,118161,6653245,TRUE
"420",31660,954,105424,6674594,TRUE
"421",33250,715,108354,6639239,TRUE
"422",33555,490,96197,6630956,TRUE
"423",33890,821,71781,6650079,TRUE
"424",33950,1010,63934,6656121,TRUE
"425",35340,36,164918,6523162,TRUE
"426",38140,6,121120,6484824,TRUE
"427",38150,70,117120,6480371,TRUE
"428",36010,60,142121,6509033,TRUE
"429",36110,50,134076,6497181,TRUE
"430",36140,20,138425,6494390,TRUE
"431",36200,12,137302,6489879,TRUE
"432",35090,42,159269,6533226,TRUE
"433",35110,85,160982,6538370,TRUE
"434",35200,240,151483,6543093,TRUE
"435",35210,32,155795,6540958,TRUE
"436",35860,4,160514,6514357,TRUE
"437",36490,63,135150,6512247,TRUE
"438",38600,245,110741,6518688,TRUE
"439",38730,162,117761,6514368,TRUE
"440",38735,186,117105,6514825,TRUE
"441",38250,35,99923,6471176,TRUE
"442",38380,259,95029,6508004,TRUE
"443",38421,67,108411,6495187,TRUE
"444",38450,85,113059,6506035,TRUE
"445",36560,142,130834,6519545,TRUE
"446",38800,190,108346,6536724,TRUE
"447",39750,207,83267,6527528,TRUE
"448",40005,235,72786,6567076,TRUE
"449",40250,308,73711,6585940,TRUE
"450",40420,599,65289,6604234,TRUE
"451",40510,1105,38848,6605362,TRUE
"452",40880,841,70721,6628898,TRUE
"453",40905,915,75223,6635583,TRUE
"454",39040,12,93495,6471890,TRUE
"455",39100,9,90655,6457951,TRUE
"456",39150,12,91520,6466542,TRUE
"457",39160,124,89788,6469100,TRUE
"458",39165,9,88446,6467423,TRUE
"459",39200,25,88185,6466351,TRUE
"460",39201,32,84331,6462693,TRUE
"461",39210,86,86772,6466162,TRUE
"462",39212,80,84783,6466202,TRUE
"463",39220,151,82738,6474732,TRUE
"464",41005,80,65365,6462096,TRUE
"465",41090,10,54702,6456398,TRUE
"466",42160,14,3874,6471931,TRUE
"467",42650,5,11122,6490740,TRUE
"468",42700,150,11247,6500402,TRUE
"469",42720,75,13306,6504815,TRUE
"470",39450,280,79309,6485555,TRUE
"471",41200,275,66657,6488000,TRUE
"472",41480,278,59508,6522246,TRUE
"473",41550,504,58405,6541694,TRUE
"474",41670,263,53578,6483740,TRUE
"475",41770,16,30388,6454475,TRUE
"476",41795,150,41546,6467597,TRUE
"477",41820,4,32207,6471324,TRUE
"478",41825,6,32416,6470332,TRUE
"479",41990,220,26263,6481716,TRUE
"480",41840,631,42170,6495507,TRUE
"481",41860,317,30013,6483851,TRUE
"482",42490,470,39055,6512139,TRUE
"483",42520,348,33306,6530030,TRUE
"484",42810,55,19808,6532417,TRUE
"485",42940,560,34883,6559675,TRUE
"486",42950,582,35679,6562108,TRUE
"487",44985,660,20534,6558107,TRUE
"488",43350,49,-31971,6513400,TRUE
"489",43360,4,-24095,6514292,TRUE
"490",43520,385,6442,6529860,TRUE
"491",44710,15,-33947,6564309,TRUE
"492",44730,19,-31881,6561990,TRUE
"493",44760,2,-19365,6564699,TRUE
"494",44780,170,-20274,6560166,TRUE
"495",44800,230,-23374,6555436,TRUE
"496",44563,20,-38660,6573774,TRUE
"497",44580,15,-35735,6571781,TRUE
"498",44620,30,-34266,6576009,TRUE
"499",44640,72,-32148,6572293,TRUE
"500",44660,5,-32116,6576971,TRUE
"501",47350,25,-61414,6630865,TRUE
"502",43090,136,-5308,6497421,TRUE
"503",43220,205,-14092,6504741,TRUE
"504",43010,65,5784,6516490,TRUE
"505",43530,120,-18251,6525635,TRUE
"506",43895,10,-41234,6527677,TRUE
"507",44080,24,-46825,6540733,TRUE
"508",44300,87,-39759,6551167,TRUE
"509",44160,19,-41285,6543956,TRUE
"510",44190,135,-34980,6547733,TRUE
"511",43810,311,1539,6546031,TRUE
"512",44480,263,-21687,6540064,TRUE
"513",44485,230,-21528,6539941,TRUE
"514",44520,288,-18967,6547677,TRUE
"515",44900,44,-15466,6555501,TRUE
"516",44970,65,-4994,6551751,TRUE
"517",44545,30,-38452,6561985,TRUE
"518",44550,33,-37155,6563642,TRUE
"519",44560,7,-38603,6564974,TRUE
"520",44567,35,-35939,6576617,TRUE
"521",45350,5,21656,6576186,TRUE
"522",45460,10,-13048,6576153,TRUE
"523",45530,300,-8384,6579640,TRUE
"524",45600,64,-13762,6583329,TRUE
"525",45675,5,-3937,6590146,TRUE
"526",45770,43,-4107,6599218,TRUE
"527",45870,30,-11585,6592334,TRUE
"528",46090,30,4938,6605251,TRUE
"529",46130,140,3763,6621810,TRUE
"530",46150,25,6702,6625849,TRUE
"531",46300,333,38237,6634146,TRUE
"532",46400,72,39710,6640826,TRUE
"533",46610,5,13315,6643982,TRUE
"534",46700,255,23394,6647008,TRUE
"535",44605,30,-32436,6590951,TRUE
"536",44610,21,-48497,6587410,TRUE
"537",47055,40,-40541,6611667,TRUE
"538",47060,30,-40871,6625547,TRUE
"539",47220,35,-59554,6602476,TRUE
"540",47240,19,-53742,6610633,TRUE
"541",47260,24,-56129,6620071,TRUE
"542",47270,8,-49753,6615751,TRUE
"543",47300,55,-75231,6618073,TRUE
"544",46850,159,-7943,6636462,TRUE
"545",46930,20,-24356,6631621,TRUE
"546",47090,5,-29539,6633550,TRUE
"547",47480,50,-24182,6640296,TRUE
"548",50415,300,-23479,6726664,TRUE
"549",50450,54,-33597,6721033,TRUE
"550",50480,45,-36069,6723546,TRUE
"551",50485,12,-31614,6733223,TRUE
"552",50500,48,-39037,6723695,TRUE
"553",50505,230,-30177,6728707,TRUE
"554",50506,15,-31858,6729836,TRUE
"555",50507,90,-34361,6727721,TRUE
"556",50540,12,-31673,6733198,TRUE
"557",50770,80,-27330,6741391,TRUE
"558",50830,20,-24032,6736400,TRUE
"559",50850,80,-25592,6729366,TRUE
"560",52452,20,-32968,6749153,TRUE
"561",47498,8,-8664,6648592,TRUE
"562",47500,35,-7973,6648756,TRUE
"563",47600,83,-2371,6647924,TRUE
"564",47610,568,-1589,6644605,TRUE
"565",47820,178,12418,6667939,TRUE
"566",47445,50,-35518,6648147,TRUE
"567",47450,36,-37938,6651682,TRUE
"568",48061,13,-49342,6669644,TRUE
"569",48290,104,-53809,6676611,TRUE
"570",48330,25,-54107,6682908,TRUE
"571",48069,20,-39601,6661412,TRUE
"572",48070,20,-38167,6662253,TRUE
"573",48120,49,-40855,6667933,TRUE
"574",48170,60,-30732,6679940,TRUE
"575",47855,190,-77,6659258,TRUE
"576",47890,38,-2184,6669759,TRUE
"577",48450,13,-15831,6672350,TRUE
"578",48500,51,233,6684413,TRUE
"579",48780,33,19297,6697762,TRUE
"580",50150,45,-5541,6690981,TRUE
"581",49080,342,24490,6713670,TRUE
"582",49087,1390,26021,6706520,TRUE
"583",33990,990,57350,6661178,TRUE
"584",46430,1010,37342,6661578,TRUE
"585",46432,1370,36163,6662199,TRUE
"586",46450,393,42392,6660824,TRUE
"587",46510,1079,51377,6660821,TRUE
"588",49240,205,30651,6675619,TRUE
"589",49351,32,31616,6694983,TRUE
"590",49090,18,36010,6729152,TRUE
"591",49120,40,39928,6722277,TRUE
"592",49160,19,34292,6709546,TRUE
"593",49480,105,37033,6708755,TRUE
"594",49490,12,39785,6716081,TRUE
"595",49970,34,47101,6731215,TRUE
"596",29400,1250,83516,6695599,TRUE
"597",29900,1250,90857,6716599,TRUE
"598",49631,20,64537,6729452,TRUE
"599",49800,735,75367,6721839,TRUE
"600",49860,1243,86642,6716124,TRUE
"601",25830,1210,91443,6740648,TRUE
"602",49910,42,58449,6741331,TRUE
"603",49955,9,56820,6736133,TRUE
"604",53530,1162,78375,6749336,TRUE
"605",51250,316,7613,6762072,TRUE
"606",51440,17,14896,6756368,TRUE
"607",51460,45,19804,6754722,TRUE
"608",51470,328,20933,6755381,TRUE
"609",51530,54,31735,6751635,TRUE
"610",51610,77,32514,6753651,TRUE
"611",51800,695,60606,6756645,TRUE
"612",51940,215,38050,6768885,TRUE
"613",51980,853,37392,6777396,TRUE
"614",51990,700,37781,6777930,TRUE
"615",53160,614,51827,6780047,TRUE
"616",50070,49,19548,6723146,TRUE
"617",50080,108,15362,6726097,TRUE
"618",50110,13,16125,6721182,TRUE
"619",50120,16,5369,6715696,TRUE
"620",50310,455,2979,6728880,TRUE
"621",50311,448,3117,6728748,TRUE
"622",50351,367,296,6737746,TRUE
"623",50360,250,-14053,6732349,TRUE
"624",50175,32,-44683,6693743,TRUE
"625",50514,72,-46751,6728148,TRUE
"626",50515,335,-44614,6727711,TRUE
"627",50525,30,-40983,6733425,TRUE
"628",52458,17,-39032,6740885,TRUE
"629",52463,25,-37929,6735656,TRUE
"630",51010,10,-8075,6745299,TRUE
"631",52170,450,19217,6773343,TRUE
"632",52220,579,25964,6775373,TRUE
"633",52310,125,10650,6780541,TRUE
"634",52320,125,11952,6788345,TRUE
"635",52475,30,-53171,6753224,TRUE
"636",52360,325,-9240,6776054,TRUE
"637",52390,100,-20113,6758945,TRUE
"638",52400,72,-25127,6759343,TRUE
"639",52415,50,-32075,6769282,TRUE
"640",52555,25,-41744,6781039,TRUE
"641",52535,19,-58261,6782166,TRUE
"642",52601,325,-10738,6781147,TRUE
"643",52750,13,-30647,6785388,TRUE
"644",57630,190,5344,6861235,TRUE
"645",57710,9,-27967,6868308,TRUE
"646",57770,26,-46386,6869906,TRUE
"647",52860,38,-18487,6804024,TRUE
"648",52930,240,-17264,6796082,TRUE
"649",52940,220,-13580,6793564,TRUE
"650",56400,3,-57006,6807665,TRUE
"651",52970,4,10277,6804223,TRUE
"652",52990,4,23431,6807253,TRUE
"653",56010,5,21088,6819875,TRUE
"654",56320,31,-8230,6812116,TRUE
"655",53010,910,41018,6789186,TRUE
"656",53070,65,46583,6800129,TRUE
"657",53101,49,51430,6810717,TRUE
"658",53130,32,65482,6797282,TRUE
"659",55928,15,45631,6814914,TRUE
"660",55930,14,45803,6814982,TRUE
"661",55970,20,27973,6812925,TRUE
"662",55770,45,63141,6810063,TRUE
"663",55700,497,77780,6805809,TRUE
"664",55701,1150,76787,6807616,TRUE
"665",55705,170,82028,6810211,TRUE
"666",55730,421,69089,6826760,TRUE
"667",55735,521,66122,6828537,TRUE
"668",55760,50,66840,6807351,TRUE
"669",55820,3,61324,6837695,TRUE
"670",53280,15,71833,6773132,TRUE
"671",53480,960,75561,6756741,TRUE
"672",53700,15,77636,6777178,TRUE
"673",53990,1160,95740,6756929,TRUE
"674",54110,2,96426,6797459,TRUE
"675",54180,50,99027,6791679,TRUE
"676",54190,90,100729,6790845,TRUE
"677",54320,407,112907,6790604,TRUE
"678",54330,410,114669,6792734,TRUE
"679",54420,1124,126892,6783245,TRUE
"680",54590,742,124041,6794264,TRUE
"681",54600,806,125135,6794944,TRUE
"682",54740,35,103897,6806153,TRUE
"683",54770,50,112652,6814592,TRUE
"684",54780,28,115926,6818641,TRUE
"685",54815,1080,132573,6812712,TRUE
"686",55230,2062,123069,6840790,TRUE
"687",55300,17,106939,6840391,TRUE
"688",55360,80,95000,6831547,TRUE
"689",55520,249,86728,6825759,TRUE
"690",55550,246,82110,6820409,TRUE
"691",55670,172,76392,6841999,TRUE
"692",56420,7,-32044,6836094,TRUE
