"","stnr","z","x","y","NO"
"149",2090,127,305513,6620124,TRUE
"150",2100,132,305388,6620220,TRUE
"151",2110,146,305585,6621080,TRUE
"152",2170,174,313214,6632024,TRUE
"153",2520,134,301675,6634183,TRUE
"154",2540,152,302428,6635761,TRUE
"155",2560,204,296190,6639055,TRUE
"156",2600,131,308810,6643348,TRUE
"157",2610,135,308746,6644065,TRUE
"158",2650,128,308792,6646573,TRUE
"159",2840,139,299878,6624918,TRUE
"160",4800,122,290324,6663958,TRUE
"161",4825,145,293417,6650726,TRUE
"162",4850,132,295404,6660079,TRUE
"163",4870,247,292258,6664708,TRUE
"164",4080,235,279560,6651561,TRUE
"165",4040,164,283905,6629974,TRUE
"166",4050,163,283150,6631312,TRUE
"167",4070,189,284397,6637367,TRUE
"168",17640,130,275695,6629176,TRUE
"169",4090,227,273189,6648787,TRUE
"170",4100,160,274431,6650754,TRUE
"171",4110,231,275288,6652231,TRUE
"172",4200,109,278919,6654781,TRUE
"173",4210,112,279544,6654285,TRUE
"174",4220,114,279460,6655496,TRUE
"175",4260,143,275585,6655730,TRUE
"176",4280,180,279234,6657419,TRUE
"177",4290,177,278228,6656876,TRUE
"178",18280,225,272915,6656898,TRUE
"179",4440,174,270112,6669489,TRUE
"180",4460,170,268279,6671793,TRUE
"181",4500,389,262915,6673319,TRUE
"182",4710,191,286310,6674347,TRUE
"183",4725,203,284568,6676425,TRUE
"184",4730,200,284332,6676003,TRUE
"185",4780,202,282812,6680860,TRUE
"186",4781,202,282365,6678855,TRUE
"187",4810,205,290009,6674133,TRUE
"188",11110,198,287883,6685418,TRUE
"189",11130,198,288586,6681660,TRUE
"190",11140,194,286743,6681767,TRUE
"191",11160,216,288371,6677944,TRUE
"192",4890,150,297412,6664509,TRUE
"193",4920,160,299664,6671003,TRUE
"194",4930,162,299049,6668314,TRUE
"195",4940,159,300002,6668630,TRUE
"196",4950,145,305372,6672927,TRUE
"197",4960,130,305275,6686545,TRUE
"198",5050,191,309853,6667615,TRUE
"199",11030,152,301706,6674485,TRUE
"200",11050,127,298253,6680845,TRUE
"201",11070,128,293017,6694420,TRUE
"202",11080,178,290339,6688758,TRUE
"203",11100,203,290648,6685258,TRUE
"204",11120,181,287828,6690857,TRUE
"205",11125,180,286404,6689433,TRUE
"206",11190,190,285424,6688218,TRUE
"207",11440,140,288995,6723060,TRUE
"208",11450,160,292300,6701236,TRUE
"209",11463,150,292340,6701646,TRUE
"210",4720,175,280653,6672817,TRUE
"211",4740,187,280981,6677364,TRUE
"212",4760,199,279365,6682205,TRUE
"213",4770,199,279589,6685910,TRUE
"214",11198,200,283942,6685571,TRUE
"215",11200,197,283253,6685377,TRUE
"216",11240,480,274778,6700574,TRUE
"217",11350,394,279337,6713133,TRUE
"218",17980,92,266048,6641271,TRUE
"219",18020,135,264179,6645365,TRUE
"220",18030,175,267915,6643085,TRUE
"221",18040,169,268214,6644551,TRUE
"222",18050,165,268627,6643789,TRUE
"223",18100,180,268858,6647492,TRUE
"224",18160,118,264449,6644756,TRUE
"225",18162,15,264395,6648310,TRUE
"226",18165,130,265178,6647311,TRUE
"227",18170,123,267156,6647097,TRUE
"228",18180,176,267807,6648340,TRUE
"229",18190,150,266992,6647609,TRUE
