"","stnr","year","month","day","hour","ntime","value","nvalue","DQC","KDVHflag","plausible","err.ext","blist.perm","blist.curr"
"24",232400,2014,7,8,NA,1,0.6,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"25",241000,2014,7,8,NA,1,0,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"26",241800,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"27",243200,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"28",243500,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"29",245200,2014,7,8,NA,1,0,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"30",250000,2014,7,8,NA,1,2.4,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"31",250100,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"32",250500,2014,7,8,NA,1,10.2,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"33",251200,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"34",251300,2014,7,8,NA,1,7.8,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"35",251800,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"36",252000,2014,7,8,NA,1,10,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"37",252600,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"38",280500,2014,7,8,NA,1,0,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"39",280700,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"40",282300,2014,7,8,NA,1,NA,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"41",283600,2014,7,8,NA,1,0,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"42",603000,2014,7,8,NA,1,0.3,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"43",604100,2014,7,8,NA,1,3.2,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"44",605200,2014,7,8,NA,1,0.3,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"45",606900,2014,7,8,NA,1,0.2,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"46",2210600,2014,7,8,NA,1,0,1,NA,NA,TRUE,FALSE,FALSE,FALSE
"47",1130,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"48",1135,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"49",1220,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"50",1230,2014,7,8,NA,1,7,1,NA,0,TRUE,FALSE,FALSE,FALSE
"51",1400,2014,7,8,NA,1,15,1,NA,0,TRUE,FALSE,FALSE,FALSE
"52",2980,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"53",17250,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"54",17251,2014,7,8,NA,1,7.5,1,NA,0,TRUE,FALSE,FALSE,FALSE
"55",17260,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"56",17280,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"57",17290,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"58",3005,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"59",3150,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"60",3190,2014,7,8,NA,1,20.2,1,NA,2,TRUE,FALSE,FALSE,FALSE
"61",3200,2014,7,8,NA,1,15.8,1,NA,0,TRUE,FALSE,FALSE,FALSE
"62",3370,2014,7,8,NA,1,4.6,1,NA,2,TRUE,FALSE,FALSE,FALSE
"63",3015,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"64",3019,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"65",3030,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"66",3040,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"67",3120,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"68",17000,2014,7,8,NA,1,8.1,1,NA,2,TRUE,FALSE,FALSE,FALSE
"69",17005,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"70",17030,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"71",1080,2014,7,8,NA,1,3.5,1,NA,0,TRUE,FALSE,FALSE,FALSE
"72",1600,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"73",1650,2014,7,8,NA,1,12.2,1,NA,0,TRUE,FALSE,FALSE,FALSE
"74",1950,2014,7,8,NA,1,7,1,NA,0,TRUE,FALSE,FALSE,FALSE
"75",1960,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"76",3900,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"77",3930,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"78",3980,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"79",3990,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"80",3720,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"81",3730,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"82",3731,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"83",3810,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"84",3400,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"85",3410,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"86",3420,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"87",3450,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"88",3480,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"89",3500,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"90",3580,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"91",1380,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"92",3280,2014,7,8,NA,1,21.8,1,NA,0,TRUE,FALSE,FALSE,FALSE
"93",3290,2014,7,8,NA,1,23.6,1,NA,2,TRUE,FALSE,FALSE,FALSE
"94",3070,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"95",3090,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"96",17050,2014,7,8,NA,1,12.2,1,NA,2,TRUE,FALSE,FALSE,FALSE
"97",17090,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"98",17150,2014,7,8,NA,1,8.6,1,NA,2,TRUE,FALSE,FALSE,FALSE
"99",17380,2014,7,8,NA,1,10.7,1,NA,2,TRUE,FALSE,FALSE,FALSE
"100",17400,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"101",17500,2014,7,8,NA,1,11.2,1,NA,0,TRUE,FALSE,FALSE,FALSE
"102",3780,2014,7,8,NA,1,8.7,1,NA,0,TRUE,FALSE,FALSE,FALSE
"103",17550,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"104",17650,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"105",17830,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"106",17850,2014,7,8,NA,1,6.4,1,NA,2,TRUE,FALSE,FALSE,FALSE
"107",17870,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"108",17875,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"109",17740,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"110",17741,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"111",17750,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"112",17770,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"113",17775,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
